,0
abate,0.020884530325057826
abate_nuisance,0.031326795
abatement,0.005221133
ability,0.081669721
absence,0.021133102
absent,0.032878069
abuse,0.054975393200324144
abuse_discretion,0.054782061
abused_discretion,0.027046577950201357
accepted_e_delivery,0.096381103
accessory,0.013768729
accommodate,0.013768729
accord,0.063020981
accordance,0.06295375
according_proof,0.005221133
account,0.046771445
accurate,0.018544531133103736
acknowledge,0.005221133
acre,0.033432571
acreage,0.013768729
act,0.10890555802347655
action,0.8502046928511596
action_allegation_paragraph,0.010442265162528913
activist,0.021347423
activity,0.14154476976127522
add,0.013523288975100679
addendum,0.019679597539945987
addition,0.083029385
address,0.10270474158464449
address_set_forth,0.041306187
addressed_person_address,0.035078584
adequacy,0.027046577950201357
adequate,0.013523288975100679
adequately_identify_analyze,0.040569867
adjacent,0.005221133
adjacent_residential,0.005221133
adjacent_residential_property,0.005221133
adjacent_residential_zone,0.015663398
adjoin,0.005221133
adjoining,0.010442265162528913
adjudication,0.022216673281072588
adjustment,0.024666419
administration,0.041782344
administrative_process,0.054782061
administrative_record,0.054782061
administrative_remedy,0.054782061
administrator,0.005221133
admit,0.013768729
adopt,0.056095462
adoption,0.065048012
adoption_zoning_amendment,0.068843645
adult,0.011692861170321627
advance,0.028299008409791958
advantage,0.005221133
adverse_environmental_impact,0.013523288975100679
advertise,0.005221133
advertising,0.005221133
advocacy,0.005221133
advocate,0.005221133
affect,0.015709288
affidavit,0.060317151
afford,0.033432571
age,0.091674306
agency,0.2382483622151577
agency_must,0.037089062
agenda,0.018260687
agent,0.015709288
agreement,0.023385722340643254
agriculture,0.04055795
aid,0.013768729
air,0.08635393
air_pollution,0.074178125
aircraft,0.010442265162528913
airplane,0.005221133
ala,0.018544531133103736
alarm,0.024293197563880625
alarm_owner,0.015663398
align,0.023385722340643254
allegation,0.060977920548592204
allegation_contained_paragraph,0.055074916
allegation_paragraph,0.005221133
allege,0.15425727017597074
alleged_herein,0.027537458
alley,0.043573837
along_property_line,0.005221133
also_violate,0.015663398
alter,0.034206412689473734
alteration,0.026642239617820293
alternative,0.021347423
alternative_peremptory,0.010442265162528913
alternative_writ,0.010442265162528913
ambient,0.020884530325057826
ambulance,0.014175246812750793
amend,0.010442265162528913
amendment,0.075279089
amendment_general_plan,0.041306187
amount,0.07570274
amount_according_proof,0.010442265162528913
amplifier,0.005221133
analyze,0.057465060002219195
angle,0.025341294620901247
announce,0.013523288975100679
annoy,0.020884530325057826
annoyance,0.015663398
anticipate,0.015709288
anticipation,0.013768729
anxiety_injury_hi,0.015663398
anything,0.015663398
apartment,0.023385722340643254
appeal,0.070716358
appearance,0.028350493625501585
appliance,0.005221133
applicability,0.013523288975100679
application,0.091970779
apply,0.013768729
appoint,0.005221133
appraisal,0.027454255631200384
approach,0.010442265162528913
approval,0.3014889994433462
approve,0.023385722340643254
approving_motion,0.06665002
appurtenance,0.013768729
aquifer,0.021347423
arbitration,0.035078584
area,0.1768302271978952
argument,0.022216673281072588
arise,0.018544531133103736
arm,0.005221133
art,0.018544531133103736
article,0.034412110629204615
ascertain,0.020290703
ask,0.027690336674840912
assault,0.011692861170321627
assembly,0.005221133
assert,0.013768729
assess,0.005221133
asset,0.0426776
assign,0.022012017
assist,0.011692861170321627
associate,0.060923154
association,0.022216673281072588
association_resident,0.005221133
assumption,0.041222069
assure,0.013768729
ate,0.005221133
attach,0.084719807
attached_exhibit,0.023974777040258195
attachment,0.026843150477681092
attempt,0.028193576
attention,0.021347423
attorney,0.23760798730579893
attorney_fee,0.015663398
attorney_general_case,0.040569867
attorney_petitioner,0.013768729
attorney_petitioner_coalition,0.13523288975100678
audience,0.011692861170321627
auditorium,0.018544531133103736
augment,0.018544531133103736
authority,0.062713041
authority_governing_body,0.06665002
authorize,0.062792669
auto,0.057749084
ava,0.055074916
avenue,0.12185732945489186
average,0.005221133
avo,0.068843645
avoid,0.037971024121197836
award,0.051182058
ba,0.031326795
back_forth,0.015663398
back_yard,0.010442265162528913
backyard,0.028836437924221185
bag,0.036521374
balance,0.033432571
bang,0.005221133
banging,0.005221133
bank,0.1403143340438595
bank_parking_lot,0.035078584
bar,0.082846949
bar_north_avenue,0.06665002
barbed_wire,0.010442265162528913
barbed_wire_metal,0.005221133
bare,0.013523288975100679
bark,0.005221133
barrel,0.013768729
barrier,0.011692861170321627
base,0.143361047
baseline,0.064042269
basis,0.041603267
baster,0.005221133
battery,0.027537458
beach,0.046771445
beach_phone,0.023385722340643254
beach_service,0.023385722340643254
bed,0.022216673281072588
bedroom,0.005221133
beer,0.005221133
beginning,0.013523288975100679
behalf,0.060160291
belief,0.072891474
bell,0.032625449918877496
benefit,0.083372422
berm,0.042694846
bernardino,0.021347423
berry,0.068207127
beverage,0.005221133
beverly,0.1483562490648299
beverly_hill,0.037089062
bike,0.005221133
bill,0.015663398
billing,0.010442265162528913
bind,0.025341294620901247
biologist,0.021347423
biology,0.021347423
bird,0.005221133
black_suite_beach,0.035078584
blast,0.010442265162528913
blasting,0.005221133
blender,0.005221133
block,0.085714581
board,0.5374108813869278
board_director,0.088866693
board_letter,0.027537458
board_set_aside,0.022216673281072588
board_supervisor,0.13475690191938303
board_supervisor_county,0.1217096007759061
body,0.067397188
bond,0.021347423
book,0.011692861170321627
bor,0.014175246812750793
border,0.037679650144678986
bound,0.018260687
brake,0.015663398
branch,0.011692861170321627
breach,0.055380673349681823
breach_contract,0.011692861170321627
breach_contract_warranty,0.035078584
brick,0.005221133
bridge,0.021347423
bridge_point,0.1669007801979336
bring,0.051174901
broadcasting,0.005221133
broadway,0.018260687
brother,0.018544531133103736
bu,0.022216673281072588
buffer,0.0424171
build,0.018550963397994183
building,0.10531737571888522
building_avenue_construct,0.046771445
building_code,0.040569867
building_permit,0.060255014
bulk,0.027537458
burden,0.038807008
bury,0.021347423
business,0.2150297500370743
business_attached_document,0.036521374
business_day,0.013768729
business_highway_beach,0.035078584
business_license,0.015663398
business_practice,0.071015054
business_practice_collection,0.035078584
business_set_forth,0.035078584
butterfly,0.021347423
buy,0.015663398
buying,0.005221133
cable,0.005221133
cad,0.037089062
cal_pub_code,0.064042269
cal_rule_court,0.046771445
calculate,0.019917480978637235
calibration,0.020884530325057826
calibrator,0.015663398
californian,0.005221133
californium,0.1858992540226587
californium_county,0.011692861170321627
call,0.034369032
cam,0.013768729
cancellation,0.060317151
cap,0.042694846
capacity,0.107482968
caption,0.013523288975100679
car,0.042525740438252385
carcass,0.005221133
care,0.022926679983237577
carrier,0.041614329
carry,0.021133102
carsten,0.10523575053289465
carsten_attorney_petitioner,0.035078584
carsten_county_state,0.035078584
cart,0.010442265162528913
carter,0.048112353
case,0.40901878189376695
case_cover_sheet,0.070157167
case_date,0.027537458
case_date_paid,0.055074916
case_type,0.046771445
cast,0.018260687
cat,0.005221133
categorical_exemption,0.085355199
category,0.037420347
category_period_standard,0.015663398
cause,0.10786959641145116
cause_action,0.11756510422526698
cause_deterioration,0.011692861170321627
caveat,0.011692861170321627
cedar,0.005221133
cell,0.005221133
cent,0.005221133
center,0.093118838
centralized_facility,0.055074916
ceqa,0.8827577016163081
ceqa_guideline,0.1356035975492401
ceqa_guideline_section,0.073042748
ceqa_require_county,0.041306187
certainty,0.005221133
certificate,0.034518863025666216
certification,0.11345073888574621
certify_declare,0.027046577950201357
cessation,0.010442265162528913
chain,0.005221133
challenge,0.097784824
change,0.20549275663152547
change_environment,0.018544531133103736
change_project_description,0.040569867
channel,0.075938942
channel_law,0.018544531133103736
channel_law_group,0.1483562490648299
chap,0.010442265162528913
chapman,0.023385722340643254
chapter,0.034518863025666216
chapter_municipal_code,0.005221133
character,0.036747037
charge,0.010442265162528913
chart,0.036547928068851196
chavez,0.013523288975100679
check,0.043573837
chief,0.005221133
chief_executive_officer,0.11108336640536295
chime,0.005221133
chokepoint,0.011692861170321627
choose,0.039769389
chosen,0.015663398
cinder,0.005221133
cion,0.005221133
circulate,0.013523288975100679
circulation,0.037100482
circumstance,0.040969345
circumvent,0.011692861170321627
citation,0.055633593399311204
citizen,0.037089062
citizen_bank,0.035078584
citrin,0.013523288975100679
citrin_law_office,0.040569867
city,1.4920815631441313
city_abused_discretion,0.058464306
city_approval_project,0.036521374
city_city_manager,0.031326795
city_council,0.11692861170321628
city_development_standard,0.023385722340643254
city_manager,0.026105662906322286
city_manager_city,0.005221133
city_manager_enforce,0.010442265162528913
city_ordinance_city,0.010442265162528913
city_page,0.010442265162528913
city_petition_complaint,0.015663398
city_violated_ceqa,0.054782061
civic,0.028418836
civil_procedure,0.013768729
civil_procedure_section,0.26584136450062973
civil_right,0.035078584
cl,0.021347423
claim,0.11853033531464645
clarification,0.013523288975100679
class,0.011692861170321627
